user_id,group,coupon_received,signup_day,exposure_day,made_first_purchase_30d,days_to_first_purchase,repeat_visits_14d,browse_sessions_14d,product_views_14d,cart_adds_14d,discount_page_views_14d,coupon_used,repeat_purchase_180d,orders_180d,gross_revenue_180d,discount_cost_180d,net_revenue_180d,realized_ltv_180d,latent_response_type,latent_value_type,latent_timing_type
41,control,0,85,90,0,,5,5,15,3,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
42,treatment,1,80,87,0,,4,6,15,4,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
43,treatment,1,34,38,0,,1,6,11,3,12,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
44,control,0,77,80,0,,1,4,9,3,8,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
45,treatment,1,22,27,1,23,3,6,13,6,2,0,1,6,153.45,7.67,145.77,145.77,sure_thing,high_value,normal_timing
46,treatment,1,22,28,0,,0,3,9,1,4,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
47,control,0,31,36,0,,3,1,9,1,10,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
48,control,0,2,4,0,,2,13,15,1,3,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
49,treatment,1,24,31,0,,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
50,control,0,77,82,0,,0,1,1,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
51,control,0,69,76,0,,4,9,16,5,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
52,control,0,30,34,0,,4,8,17,10,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
53,treatment,1,29,32,0,,2,6,10,1,7,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
54,treatment,1,32,38,0,,4,2,8,3,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
55,treatment,1,11,15,0,,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
56,treatment,1,15,21,0,,4,2,5,2,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
57,control,0,90,97,1,19,3,8,21,3,0,0,1,4,256.46,12.82,243.64,243.64,persuadable,high_value,normal_timing
58,treatment,1,63,65,0,,4,4,12,4,3,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
59,control,0,61,62,0,,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
60,control,0,26,27,0,,1,0,3,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
61,treatment,1,78,82,0,,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
62,control,0,16,22,0,,5,2,14,3,0,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
63,treatment,1,88,95,0,,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
64,treatment,1,46,46,0,,5,8,16,7,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
65,treatment,1,30,30,0,,1,3,4,1,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
66,treatment,1,68,73,0,,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
67,treatment,1,38,40,1,10,2,5,28,0,1,1,1,4,164.89,17.83,147.06,147.06,sure_thing,high_value,normal_timing
68,control,0,25,28,0,,0,0,3,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
69,control,0,62,62,0,,2,4,7,2,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
70,control,0,65,65,0,,2,8,13,3,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
71,control,0,55,59,0,,1,1,10,3,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
72,control,0,42,47,0,,1,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
73,treatment,1,30,37,1,16,2,3,11,6,1,1,1,4,307.77,24.98,282.79,282.79,sure_thing,high_value,normal_timing
74,control,0,37,40,0,,3,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
75,control,0,79,84,0,,2,2,9,1,8,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
76,control,0,33,39,0,,0,1,3,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
77,control,0,88,91,0,,1,1,5,1,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
78,treatment,1,14,15,1,13,1,1,7,1,10,1,1,2,78.1,36.93,41.18,41.18,persuadable,discount_driven_low_value,normal_timing
79,treatment,1,15,21,0,,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
80,treatment,1,30,30,0,,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
81,treatment,1,1,3,1,6,2,5,14,0,1,1,1,2,44.23,14.9,29.33,29.33,sure_thing,medium_value,pulled_forward
82,control,0,80,81,0,,2,5,7,2,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
83,treatment,1,31,36,1,17,1,3,6,2,7,1,0,1,15.75,15.1,0.65,0.65,persuadable,discount_driven_low_value,normal_timing
84,control,0,10,12,0,,0,1,2,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
85,control,0,56,58,0,,2,2,12,0,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
86,control,0,87,92,0,,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
87,treatment,1,90,92,0,,1,2,7,3,8,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
88,control,0,10,12,0,,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
89,control,0,72,75,0,,2,2,5,2,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
90,treatment,1,33,33,0,,1,3,17,0,3,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
91,control,0,76,83,0,,3,3,6,3,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
92,treatment,1,55,62,0,,2,8,20,2,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
93,control,0,66,71,0,,3,1,9,2,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
94,control,0,76,76,0,,2,3,13,1,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
95,control,0,81,84,0,,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
96,treatment,1,13,15,1,13,0,5,6,1,7,1,1,2,81.2,38.01,43.19,43.19,persuadable,discount_driven_low_value,pulled_forward
97,control,0,66,67,0,,7,10,17,2,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
98,control,0,13,20,0,,0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
99,control,0,85,88,0,,1,0,4,1,8,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
100,treatment,1,57,62,0,,3,0,5,3,7,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
101,treatment,1,18,23,0,,1,1,0,1,3,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
102,treatment,1,27,29,0,,1,0,3,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
103,control,0,81,83,0,,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
104,treatment,1,59,66,0,,1,2,2,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
105,treatment,1,21,27,1,10,2,3,7,0,4,1,0,1,40.99,23.93,17.05,17.05,persuadable,discount_driven_low_value,pulled_forward
106,treatment,1,74,78,1,12,4,9,10,6,0,0,0,1,57.62,2.88,54.74,54.74,sure_thing,high_value,normal_timing
107,control,0,65,69,1,7,3,8,20,3,0,0,1,10,1050.67,52.53,998.14,998.14,sure_thing,high_value,normal_timing
108,control,0,7,7,0,,1,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
109,control,0,26,27,0,,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
110,treatment,1,77,77,0,,2,5,14,4,0,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
111,control,0,32,38,1,14,3,7,16,1,0,0,1,3,106.63,5.33,101.29,101.29,sure_thing,high_value,normal_timing
112,control,0,4,11,0,,3,7,19,6,2,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
113,control,0,55,56,1,20,2,9,21,1,3,0,1,10,603.87,30.19,573.68,573.68,sure_thing,high_value,normal_timing
114,treatment,1,81,83,0,,0,3,1,0,3,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
115,control,0,51,53,0,,6,5,14,2,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
116,treatment,1,88,94,1,12,4,7,4,0,2,1,0,1,44.41,14.92,29.49,29.49,sure_thing,medium_value,pulled_forward
117,treatment,1,11,14,0,,1,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
118,treatment,1,61,61,0,,1,3,6,1,11,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
119,control,0,59,63,1,10,2,10,10,1,2,0,1,4,193.08,23.17,169.91,169.91,sure_thing,medium_value,pulled_forward
120,treatment,1,89,90,0,,5,5,16,4,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
121,treatment,1,47,52,1,11,4,4,30,2,3,0,1,7,508.99,25.45,483.54,483.54,persuadable,high_value,normal_timing
122,treatment,1,74,80,1,13,1,5,6,2,2,1,0,1,33.06,21.16,11.9,11.9,persuadable,discount_driven_low_value,normal_timing
123,control,0,14,14,1,4,1,5,22,5,2,0,1,5,400.71,20.04,380.67,380.67,persuadable,high_value,normal_timing
124,control,0,4,11,0,,1,6,9,2,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
125,control,0,65,70,1,23,2,3,4,2,4,0,0,1,32.56,11.4,21.16,21.16,persuadable,discount_driven_low_value,normal_timing
126,control,0,1,1,1,11,7,6,19,1,0,0,1,4,262.7,13.13,249.56,249.56,sure_thing,high_value,normal_timing
127,control,0,79,80,0,,2,7,15,4,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
128,control,0,2,3,0,,1,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
129,control,0,62,69,0,,0,4,7,2,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
130,treatment,1,41,46,0,,1,6,26,2,0,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
131,control,0,59,61,0,,0,0,4,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
132,treatment,1,57,61,0,,3,4,20,3,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
133,treatment,1,40,42,1,10,3,6,18,0,3,1,0,1,15.96,11.5,4.46,4.46,sure_thing,medium_value,pulled_forward
134,control,0,44,47,0,,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
135,treatment,1,46,51,0,,0,4,7,2,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
136,control,0,61,62,0,,1,2,11,2,9,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
137,treatment,1,64,70,0,,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
138,control,0,41,48,0,,2,2,8,0,7,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
139,treatment,1,32,39,1,13,3,7,12,5,2,1,0,1,48.64,12.02,36.62,36.62,sure_thing,high_value,normal_timing
140,control,0,4,5,0,,2,5,23,3,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
141,control,0,71,74,0,,5,4,22,2,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
142,control,0,21,23,0,,1,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
143,treatment,1,40,45,1,10,2,7,15,0,0,0,1,4,178.83,8.94,169.89,169.89,sure_thing,high_value,normal_timing
144,treatment,1,90,92,1,13,0,1,5,1,4,1,0,1,14.23,14.57,-0.34,-0.34,persuadable,discount_driven_low_value,normal_timing
145,control,0,71,74,0,,4,6,10,3,3,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
146,control,0,32,33,0,,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
147,control,0,43,47,0,,2,7,17,2,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
148,treatment,1,30,34,0,,5,8,23,4,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
149,control,0,57,61,0,,0,5,9,1,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
150,control,0,14,16,0,,2,3,4,1,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
151,treatment,1,86,92,1,1,4,3,17,2,2,1,0,1,39.52,14.33,25.19,25.19,sure_thing,medium_value,pulled_forward
152,treatment,1,89,93,0,,0,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
153,control,0,27,28,0,,2,3,17,2,0,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
154,treatment,1,21,23,0,,4,8,12,2,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
155,control,0,49,54,1,13,8,4,21,1,1,0,1,3,174.05,8.7,165.35,165.35,sure_thing,high_value,normal_timing
156,treatment,1,59,59,0,,5,8,18,6,2,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
157,control,0,58,60,1,9,2,2,8,4,1,0,1,2,51.11,6.13,44.98,44.98,sure_thing,medium_value,pulled_forward
158,treatment,1,4,10,0,,0,2,1,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
159,treatment,1,64,67,1,4,3,3,22,1,0,1,1,5,320.09,25.59,294.5,294.5,sure_thing,high_value,normal_timing
160,treatment,1,6,10,0,,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
161,control,0,31,36,0,,3,2,5,2,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
162,treatment,1,65,67,1,3,1,1,10,3,4,1,0,1,22.09,17.32,4.77,4.77,persuadable,discount_driven_low_value,pulled_forward
163,control,0,80,86,1,7,5,8,20,6,1,0,1,3,259.77,12.99,246.78,246.78,sure_thing,high_value,normal_timing
164,control,0,58,58,0,,2,3,13,0,3,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
165,treatment,1,15,18,0,,6,6,21,3,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
166,control,0,62,66,0,,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
167,treatment,1,4,5,0,,1,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
168,treatment,1,21,27,0,,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
169,control,0,12,12,0,,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
170,treatment,1,89,94,0,,4,1,11,1,10,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
171,control,0,34,39,1,9,2,3,6,4,1,0,1,4,190.31,22.84,167.48,167.48,sure_thing,medium_value,pulled_forward
172,treatment,1,51,57,0,,4,4,18,2,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
173,control,0,72,73,0,,0,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
174,treatment,1,88,89,0,,2,3,3,1,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
175,control,0,90,94,0,,1,4,7,1,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
176,control,0,15,22,0,,4,5,4,2,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
177,control,0,36,42,0,,7,5,14,9,3,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
178,treatment,1,37,38,0,,0,0,3,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
179,treatment,1,72,75,0,,2,2,7,0,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
180,treatment,1,31,33,0,,1,1,7,1,7,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
181,treatment,1,21,27,0,,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
182,treatment,1,68,72,0,,2,3,12,0,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
183,treatment,1,45,48,0,,1,2,7,2,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
184,control,0,68,68,1,18,4,6,11,3,0,0,1,5,267.55,13.38,254.17,254.17,persuadable,high_value,normal_timing
185,treatment,1,35,40,0,,7,2,25,5,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
186,treatment,1,44,47,0,,5,2,18,5,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
187,control,0,1,1,0,,2,2,6,2,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
188,control,0,2,3,1,6,6,14,17,3,1,0,1,2,152.48,7.62,144.86,144.86,sure_thing,high_value,normal_timing
189,treatment,1,1,6,0,,0,4,11,0,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
190,control,0,16,21,1,10,3,0,9,2,5,0,0,1,34.91,12.22,22.69,22.69,persuadable,discount_driven_low_value,normal_timing
191,treatment,1,32,35,0,,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
192,control,0,5,11,0,,5,11,24,4,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
193,control,0,15,20,0,,4,2,18,2,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
194,treatment,1,77,81,0,,1,6,8,5,3,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
195,control,0,77,78,0,,3,4,14,5,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
196,control,0,27,30,0,,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
197,treatment,1,86,92,0,,5,6,19,3,2,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
198,treatment,1,11,13,0,,2,4,5,0,4,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
199,control,0,3,8,0,,3,3,9,0,6,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
200,control,0,32,38,0,,1,0,2,1,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
201,treatment,1,24,28,1,9,2,0,8,2,3,1,0,1,32.74,21.05,11.69,11.69,persuadable,discount_driven_low_value,pulled_forward
202,treatment,1,7,11,0,,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
203,treatment,1,77,78,0,,2,6,8,4,2,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
204,control,0,89,92,1,17,0,2,10,2,2,0,1,4,114.25,13.71,100.54,100.54,sure_thing,medium_value,pulled_forward
205,control,0,25,25,0,,0,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,lost_cause,no_value,no_purchase
206,control,0,29,29,0,,1,3,9,1,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,pulled_forward
207,control,0,65,69,0,,5,0,18,0,1,0,0,0,0.0,0.0,0.0,0.0,sure_thing,medium_value,pulled_forward
208,treatment,1,84,85,0,,2,3,6,0,7,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
209,control,0,26,28,0,,1,2,8,0,5,0,0,0,0.0,0.0,0.0,0.0,persuadable,discount_driven_low_value,normal_timing
210,treatment,1,62,64,0,,3,7,15,3,3,0,0,0,0.0,0.0,0.0,0.0,sure_thing,high_value,normal_timing
211,treatment,1,3,6,0,,1,8,21,2,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
212,treatment,1,51,56,1,4,5,12,8,2,1,1,1,2,103.53,22.01,81.52,81.52,sure_thing,medium_value,pulled_forward
213,control,0,89,92,0,,4,7,18,1,1,0,0,0,0.0,0.0,0.0,0.0,persuadable,high_value,normal_timing
